0,000000000;78
0,001264000;106
0,001292000;66
1,197071000;78
1,198547000;106
1,198571000;66
2,228733000;78
2,230486000;106
2,230528000;66
2,966092000;79
2,967242000;106
2,967270000;66
3,435702000;78
3,437130000;106
3,437154000;66
4,461241000;78
4,462238000;106
4,462279000;66
5,450019000;78
5,450612000;106
5,450627000;66
6,352027000;78
6,352907000;106
6,352944000;66
7,313013000;78
7,313950000;106
7,313974000;66
8,183366000;78
8,184235000;106
8,184259000;66
9,101820000;78
9,102390000;106
9,102404000;66
10,643619000;79
10,644458000;107
10,644480000;66
11,544970000;79
11,546018000;108
11,546048000;66
12,443311000;79
12,444560000;108
12,444590000;66
13,297126000;79
13,298626000;108
13,298651000;66
14,139774000;79
14,140726000;108
14,140752000;66
14,961619000;79
14,962484000;108
14,962509000;66
15,781391000;79
15,782690000;108
15,782722000;66
16,597304000;79
16,597898000;108
16,597914000;66
17,481390000;79
17,482899000;108
17,482948000;66
18,697792000;79
18,698735000;108
18,698761000;66
33,707587000;66
33,707636000;66
48,779502000;66
48,779540000;66
62,966624000;79
62,967492000;106
62,967513000;66
78,219534000;66
78,219565000;66
83,082009000;78
83,082028000;78
83,082964000;78
83,083093000;107
83,083113000;66
83,083120000;66
84,375742000;78
84,376317000;66
84,376632000;106
84,376653000;66
84,376657000;66
85,173622000;78
85,174228000;66
85,174351000;106
85,174365000;66
86,017536000;78
86,017545000;78
86,017935000;78
86,017996000;106
86,018004000;66
86,018007000;66
87,136842000;78
87,136855000;78
87,138013000;66
87,138126000;106
87,138139000;66
87,138259000;78
88,040488000;78
88,040502000;78
88,041651000;66
88,041777000;106
88,041793000;66
88,041798000;66
88,048083000;78
88,896442000;78
88,896451000;78
88,897069000;66
88,897142000;78
88,897597000;106
88,897615000;66
88,897620000;66
89,754408000;78
89,754421000;78
89,755290000;66
89,755293000;106
89,755339000;66
89,755344000;66
89,755693000;78
90,592005000;78
90,592015000;78
90,592511000;66
90,592567000;78
90,592623000;106
90,592633000;66
90,592637000;66
91,430774000;78
91,431486000;66
91,431609000;106
91,431625000;66
91,431630000;66
93,174646000;79
93,174658000;79
93,175212000;66
93,175276000;78
93,175560000;107
93,175574000;66
93,175578000;66
94,031195000;79
94,031580000;66
94,031925000;108
94,031945000;66
94,941569000;79
94,941581000;79
94,942347000;66
94,942409000;108
94,942419000;66
94,942423000;66
94,942489000;78
95,844142000;79
95,844156000;79
95,844878000;66
95,844994000;108
95,845006000;66
95,845010000;66
95,845138000;78
96,721245000;79
96,721926000;66
96,722235000;108
96,722262000;66
96,722268000;66
97,504789000;79
97,504802000;79
97,505548000;66
97,505661000;78
97,506141000;108
97,506160000;66
98,290525000;79
98,290545000;79
98,291446000;66
98,291569000;78
98,291677000;108
98,291691000;66
99,097676000;79
99,097687000;79
99,098169000;66
99,098229000;78
99,099294000;108
99,099315000;66
99,099318000;66
99,847665000;79
99,847674000;79
99,848122000;66
99,848185000;78
99,848240000;108
99,848249000;66
100,714866000;79
100,714876000;79
100,715320000;66
100,715376000;78
100,715622000;108
100,715637000;66
100,715640000;66
